Row,Anon Student Id,Problem Name,Correct First Attempt,KC(Default)
1927,745Yh,RATIO2-001,1,Calculate unit rate
1931,745Yh,RATIO2-001,0,Calculate unit rate
1947,745Yh,RATIO2-012,0,Calculate unit rate
1948,745Yh,RATIO2-012,1,Calculate unit rate
1963,745Yh,RATIO2-054,0,Calculate unit rate
1966,745Yh,RATIO2-054,1,Calculate unit rate
1978,745Yh,RATIO2-029,1,Calculate unit rate
1981,745Yh,RATIO2-029,1,Calculate unit rate
1997,745Yh,RATIO2-109,1,Calculate unit rate
1998,745Yh,RATIO2-109,1,Calculate unit rate
5289,3cjD21W,RATIO2-001,1,Calculate unit rate
5300,3cjD21W,RATIO2-001,0,Calculate unit rate
5312,3cjD21W,RATIO2-071,0,Calculate unit rate
5318,3cjD21W,RATIO2-071,0,Calculate unit rate
5332,3cjD21W,RATIO2-099,0,Calculate unit rate
5335,3cjD21W,RATIO2-099,0,Calculate unit rate
5351,3cjD21W,RATIO2-177,1,Calculate unit rate
5352,3cjD21W,RATIO2-177,1,Calculate unit rate
5366,3cjD21W,RATIO2-078,1,Calculate unit rate
5369,3cjD21W,RATIO2-078,1,Calculate unit rate
5381,3cjD21W,RATIO3-001,1,Calculate part in proportion with fractions
5394,3cjD21W,RATIO3-192,0,Calculate total in proportion with fractions
5406,3cjD21W,RATIO3-108,1,Calculate total in proportion with fractions
5419,3cjD21W,RATIO3-048,0,Calculate part in proportion with fractions
5432,3cjD21W,RATIO3-124,0,Calculate part in proportion with fractions
5444,3cjD21W,RATIO3-077,1,Calculate part in proportion with fractions
5458,3cjD21W,RATIO3-136,0,Calculate total in proportion with fractions
5471,3cjD21W,RATIO3-074,0,Calculate total in proportion with fractions
5483,3cjD21W,RATIO3-081,1,Calculate total in proportion with fractions
5495,3cjD21W,RATIO3-056,1,Calculate part in proportion with fractions
5507,3cjD21W,RATIO3-138,0,Calculate total in proportion with fractions
5519,3cjD21W,RATIO3-175,0,Calculate total in proportion with fractions
5531,3cjD21W,RATIO3-121,1,Calculate total in proportion with fractions
5544,3cjD21W,RATIO3-123,1,Calculate part in proportion with fractions
5556,3cjD21W,RATIO3-090,1,Calculate total in proportion with fractions
5568,3cjD21W,RATIO3-179,0,Calculate part in proportion with fractions
7765,3cjD21W,RATIONAL1-299,1,Plot whole number
7773,3cjD21W,RATIONAL1-155,0,Plot terminating proper fraction
7774,3cjD21W,RATIONAL1-193,1,Plot imperfect radical
7775,3cjD21W,RATIONAL1-248,1,Plot terminating proper fraction
7776,3cjD21W,RATIONAL1-117,1,Plot non-terminating improper fraction
7782,3cjD21W,RATIONAL1-156,1,Plot pi
7785,3cjD21W,RATIONAL1-180,0,Plot terminating proper fraction
7788,3cjD21W,RATIONAL1-132,0,Plot decimal - thousandths
7790,3cjD21W,RATIONAL1-245,1,Plot terminating proper fraction
7791,3cjD21W,RATIONAL1-271,1,Plot whole number
7794,3cjD21W,RATIONAL1-225,0,Plot decimal - thousandths
7795,3cjD21W,RATIONAL1-283,0,Plot non-terminating improper fraction
7796,3cjD21W,RATIONAL1-041,1,Plot imperfect radical
7797,3cjD21W,RATIONAL1-123,1,Plot non-terminating improper fraction
7815,3cjD21W,RATIONAL1-241,0,Plot decimal - thousandths
7816,3cjD21W,RATIONAL1-134,1,Plot terminating proper fraction
10617,3cjD21W,SY=2X+5&Y=-2X+5,1,"Finding the intersection, SIF"
